1,19,5,2020,23126,75,1413,,,GAUCHO-SOFT COGNAC,FOSSI MORO,DELIKA MORO,HEELGRIP BRASIL,IBITECH 57 STROBELSTOFF,VA 15ML CAFFEE,RV 14 15 SCH ARA NEW MORO_NUSS,RX-55_20_110 SETTER,SERAFIL 0175-30,SERAFIL 0175-60,SERAFIL 1003-60,SERAFIL 1000-30,,,,,,
1,19,5,2020,23126,75,1413,207,120,30.49,22.44,9.12,1.92,3.96,2400,240,120,1200,474,1428,1560,,,,,,
1,19,5,2020,23126,75,1413,219,120,31.19,22.44,9.12,1.92,3.96,2400,240,120,1200,474,1428,1560,,,,,,
1,19,5,2020,23126,75,1413,231,120,30.81,22.44,9.12,1.92,3.96,2400,240,120,1200,474,1428,1560,,,,,,
1,19,5,2020,43311,70,1413,,,KALBVELOUR SETTER,GAUCHO-SOFT COGNAC,KENDARKROKO SETTER,MICROLINE BEIGE,DELIKA MORO,HEELGRIP BEIGE,JAGER,IBITECH 57 STROBELSTOFF,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,RV 8 9 SCH ARA NEW MORO_NUSS,RX-55_10_090 SETTER,SERAFIL 0175-30,SERAFIL 0175-60,SERAFIL 1224-20,SERAFIL 1224-30,SERAFIL 1003-60,SERAFIL 1000-30
1,19,5,2020,43311,70,1413,533,120,6.1,7.43,7.69,12.48,0.84,4.92,1.848,4.2,1.44,0.6,240,120,1350,792,108,132,1224,1560
1,19,5,2020,23126,33,1414,,,GAUCHO-SOFT FLAME-MET,FOSSI SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,IO 15ML SCHWARZ-LACK,RV 14 15 SCH ARA NEW SCHWARZ_SCHWARZ,RX-55_20_110 SCHWARZ,SERAFIL 0105-30,SERAFIL 0105-60,SERAFIL 1000-30,,,,,,,
1,19,5,2020,23126,33,1414,132,100,26.58,18.7,7.6,1.6,3.3,2000,200,100,1000,1585,1300,,,,,,,
1,19,5,2020,40617,18,1414,,0,NAPPA-SOFT SCHWARAZ,GLENKID SCHWARZ,AIRTEX SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,5050_12 00099,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,
1,19,5,2020,40617,18,1414,485,120,11.86,7.43,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,
1,19,5,2020,40617,18,1414,497,120,11.86,7.43,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,
1,19,5,2020,40617,18,1415,,0,NAPPA-SOFT SCHWARAZ,GLENKID SCHWARZ,AIRTEX SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,5050_12 00099,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,
1,19,5,2020,40617,18,1415,117,120,12.4,7.55,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,
1,19,5,2020,40617,18,1415,129,120,12.4,7.55,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,
1,19,5,2020,43311,79,1415,,0,KALBVELOUR SCHWARZ,GAUCHO-SOFT SCHWARZ,PEPITAKID SCHWARZ,MICROLINE SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,JAGER,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,RV 8 9 SCH ARA NEW SCHWARZ_SCHWARZ,RX-55_10_090 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 4000-20,SERAFIL 1000-30,,
1,19,5,2020,43311,79,1415,393,120,6.14,7.27,7.7,12.48,8.4,4.92,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,
1,19,5,2020,43311,79,1415,405,120,6.14,7.27,7.7,12.48,8.4,4.92,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,
1,19,5,2020,43311,79,1415,417,120,6.14,8.21,7.8,12.48,8.4,4.92,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,
1,19,5,2020,43311,79,1415,429,120,6.14,8.21,7.8,12.48,8.4,4.92,1.848,1.44,0.6,4.2,240,120,1416,2088,108,1560,,
1,19,5,2020,23126,66,1416,,0,GAUCHO-SOFT SCHWARZ,FOSSI SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,VA 15ML CAFFEE,RV 14 15 SCH ARA NEW MORO_SCHWARZ,RX-55_20_110 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,
1,19,5,2020,23126,66,1416,267,120,31.84,22.44,9.12,1.92,3.96,2400,240,120,1200,1902,1560,,,,,,,
