Mat Nr,Mat Denumire,Cantitate,Data
9849-903,1250/12 99,12100,altceva ce apare aici
9841-310,1630/7 50,8800,
,Serafil 1000/60,198000,
9849-902,1250/10 50,11440,
,Wakol D 3465,20,
Serafil,42/20,600,
Serafil,42/30,6300,
Serafil,42/60,27000,
Serafil,160/10,1800,
Serafil,160/20,1800,
Serafil,160/30,10800,
Serafil,160/60,7200,
Serafil,166/10,300,
Serafil,166/20,3000,
Serafil,166/30,15300,
Serafil,166/60,28800,
Serafil,168/10,1800,
Serafil,168/20,7800,
Serafil,168/30,15300,
Serafil,168/60,50400,
Serafil,173/20,600,
Serafil,173/30,900,
Serafil,173/60,9000,
Serafil,186/60,10800,
Serafil,264/20,3000,
Serafil,264/30,9900,
Serafil,264/60,16200,
Serafil,277/60,18000,
Serafil,267/30,3600,
Serafil,267/60,10800,
Serafil,279/20,4800,
Serafil,279/30,8100,
Serafil,279/60,28800,
Serafil,281/10,300,
Serafil,281/20,1200,
Serafil,281/30,5400,
Serafil,281/60,34200,
Serafil,287/10,1800,
Serafil,287/60,28800,
Serafil,282/20,2400,
Serafil,282/30,9000,
Serafil,316/10,1200,
Serafil,316/20,3600,
Serafil,316/30,9900,
Serafil,316/60,25200,
Serafil,318/20,1200,
Serafil,318/60,30600,
Serafil,321/10,1800,
Serafil,321/20,3600,
Serafil,321/30,12600,
Serafil,321/60,28800,
Serafil,318/30,30600,
Serafil,324/10,600,
Serafil,324/20,3000,
Serafil,324/30,9900,
Serafil,324/60,48600,
Serafil,326/10,900,
Serafil,326/20,1800,
Serafil,326/30,13500,
Serafil,326/60,10800,
Serafil,1209/20,600,
Serafil,1209/30,900,
Serafil,1209/60,14400,
Serafil,1185/20,3000,
Serafil,1185/30,13600,
Serafil,1185/60,19800,
Serafil,166/30,3600,
Serafil,1182/30,18000,
Serafil,1182/60,16200,
Serafil,1170/60,12600,
Serafil,160/30,10800,
Serafil,788/10,300,
Serafil,788/20,600,
Serafil,788/30,7200,
Serafil,788/60,9000,
Serafil,1074/20,1800,
Serafil,1074/30,21600,
Serafil,1074/60,27000,
Serafil,975/20,4200,
Serafil,975/30,9000,
Serafil,975/60,7200,
Serafil,976/20,600,
Serafil,976/30,7200,
Serafil,976/60,7200,
Serafil,1050/10,1500,
Serafil,1050/20,7200,
Serafil,1050/30,12600,
Serafil,1050/60,18000,
Serafil,1350/20,3600,
Serafil,1350/30,17200,
Serafil,1350/60,12600,
Serafil,411/20,9000,
Serafil,412/20,12000,
Serafil,415/20,6000,
Serafil,415/30,18000,
Serafil,399/60,9000,
Serafil,1222/20,3000,
Serafil,3000/30,9000,
Serafil,3000/20,3000,
Serafil,1224/20,3000,
Serafil,168/10,1500,
Serafil,168/20,3000,
Serafil,168/60,18000,
Serafil,411/60,9000,
Serafil,166/30,4500,
Serafil,166/60,9000,
Serafil,1003/30,22500,
Serafil,1002/30,9000,
Serafil,1380/60,63000,
Serafil,3000/30,4500,
Serafil,3000/60,27000,
Serafil,770/10,1500,
Serafil,770/20,6000,
Serafil,770/30,18000,
Serafil,770/60,9000,
Serafil,104/20,3000,
Serafil,104/30,4500,
Serafil,1224/10,1500,
Serafil,1224/20,3000,
Serafil,1050/30,36000,
Serafil,1050/60,63000,
Serafil,1050/20,3000,
Serafil,412/30,9000,
Serafil,2000/30,4500,
Serafil,1380/60,18000,
Serafil,698/30,4500,
Serafil,698/60,9000,
Serafil,1282/60,27000,
Serafil,399/10,4500,
Serafil,399/20,18000,
Serafil,399/30,13500,
Serafil,399/60,45000,
Serafil,106/30,4500,
Serafil,106/60,9000,
Serafil,321/30,4500,
Serafil,321/60,9000,
Serafil,663/30,4500,
Serafil,1358/30,4500,
Serafil,1002/30,4500,
Serafil,416/10,1500,
Serafil,416/20,18000,
Serafil,416/30,13500,
Serafil,416/60,21600,
Serafil,698/20,1800,
Serafil,698/30,2400,
Serafil,698/60,1800,
Serafil,415/20,6000,
Serafil,415/30,31500,
Serafil,415/60,10800,
Serafil,379/20,3600,
Serafil,379/30,12800,
Serafil,379/60,7200,
Serafil,698/30,2700,
Serafil,698/60,3600,
Serafil,399/10,3300,
Serafil,399/20,600,
Serafil,399/30,10800,
Serafil,399/60,9000,
Serafil,397/10,1800,
Serafil,397/20,3600,
Serafil,397/30,4500,
Serafil,397/60,10800,
Serafil,414/20,6600,
Serafil,414/30,13500,
Serafil,414/60,43200,
Serafil,411/20,6000,
Serafil,411/30,17100,
Serafil,411/60,30600,
Serafil,663/30,5400,
